Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2004M12,"Dec. 2004",IN0001.10,"Fuels",86.88,,,22.6945,,,-1.4743,,
2004M12,"Dec. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M12,"Dec. 2004",IN0001.05,"Tropical beverages and food",63.42,,,13.1894,,,3.4584,,
2004M12,"Dec. 2004",IN0001.22,"All groups excl. fuels",59.16,,,6.9221,,,1.0246,,
2004M12,"Dec. 2004",IN0001.23,"All groups excl. precious metals",81.12,,,18.1474,,,-0.7949,,
2004M12,"Dec. 2004",IN0001.24,"All groups excl. precious metals and fuels",67.57,,,6.2254,,,1.3043,,
2005M01,"Jan. 2005",IN0001.20,"All groups",80.79,,,21.0156,,,5.8847,,
2005M01,"Jan. 2005",IN0001.01,"All food",65.18,,,-1.1526,,,0.4314,,
2005M01,"Jan. 2005",IN0001.02,"Food",66.08,,,10.4278,,,1.991,,
2005M01,"Jan. 2005",IN0001.03,"Tropical beverages",60.31,,,20.1394,,,1.8062,,
2005M01,"Jan. 2005",IN0001.04,"Vegetable oilseeds and oils",66.38,,,-22.3626,,,-2.8111,,
2005M01,"Jan. 2005",IN0001.06,"Agricultural raw materials",82.29,,,-1.7433,,,1.0934,,
2005M01,"Jan. 2005",IN0001.07,"Minerals, ores and metals",57.08,,,19.3393,,,10.4062,,
2005M01,"Jan. 2005",IN0001.08,"Minerals, ores and non-precious metals",80.04,,,32.7804,,,21.4568,,
2005M01,"Jan. 2005",IN0001.09,"Precious metals",38.93,,,2.4743,,,-3.8291,,
2005M01,"Jan. 2005",IN0001.10,"Fuels",92.17,,,27.289,,,6.0889,,
2005M01,"Jan. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M01,"Jan. 2005",IN0001.05,"Tropical beverages and food",64.66,,,12.5305,,,1.9552,,
2005M01,"Jan. 2005",IN0001.22,"All groups excl. fuels",62.33,,,8.2306,,,5.3584,,
2005M01,"Jan. 2005",IN0001.23,"All groups excl. precious metals",86.41,,,22.3591,,,6.5212,,
2005M01,"Jan. 2005",IN0001.24,"All groups excl. precious metals and fuels",72.86,,,9.6959,,,7.8289,,
2005M02,"Feb. 2005",IN0001.20,"All groups",83.18,,,26.7988,,,2.9583,,
2005M02,"Feb. 2005",IN0001.01,"All food",66.67,,,-1.1124,,,2.286,,
2005M02,"Feb. 2005",IN0001.02,"Food",67.04,,,11.9012,,,1.4528,,
2005M02,"Feb. 2005",IN0001.03,"Tropical beverages",66.67,,,31.9675,,,10.5455,,
2005M02,"Feb. 2005",IN0001.04,"Vegetable oilseeds and oils",66.02,,,-26.734,,,-0.5423,,
2005M02,"Feb. 2005",IN0001.06,"Agricultural raw materials",83.37,,,-0.7854,,,1.3124,,
2005M02,"Feb. 2005",IN0001.07,"Minerals, ores and metals",57.91,,,19.1074,,,1.4541,,
2005M02,"Feb. 2005",IN0001.08,"Minerals, ores and non-precious metals",81.7,,,29.8681,,,2.074,,
2005M02,"Feb. 2005",IN0001.09,"Precious metals",39.1,,,4.7134,,,0.4367,,
2005M02,"Feb. 2005",IN0001.10,"Fuels",95.37,,,36.3987,,,3.4718,,
2005M02,"Feb. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M02,"Feb. 2005",IN0001.05,"Tropical beverages and food",66.95,,,16.2326,,,3.5416,,
2005M02,"Feb. 2005",IN0001.22,"All groups excl. fuels",63.41,,,8.2451,,,1.7327,,
2005M02,"Feb. 2005",IN0001.23,"All groups excl. precious metals",89.1,,,28.4047,,,3.1131,,
2005M02,"Feb. 2005",IN0001.24,"All groups excl. precious metals and fuels",74.36,,,9.1283,,,2.0587,,
2005M03,"Mar. 2005",IN0001.20,"All groups",91.19,,,32.8332,,,9.6297,,
2005M03,"Mar. 2005",IN0001.01,"All food",69.96,,,-1.5618,,,4.9348,,
2005M03,"Mar. 2005",IN0001.02,"Food",67.56,,,8.1825,,,0.7757,,
2005M03,"Mar. 2005",IN0001.03,"Tropical beverages",72.32,,,45.4545,,,8.4746,,
2005M03,"Mar. 2005",IN0001.04,"Vegetable oilseeds and oils",72.79,,,-25.8833,,,10.2545,,
2005M03,"Mar. 2005",IN0001.06,"Agricultural raw materials",83.95,,,0.5992,,,0.6957,,
2005M03,"Mar. 2005",IN0001.07,"Minerals, ores and metals",59.69,,,20.4885,,,3.0737,,
2005M03,"Mar. 2005",IN0001.08,"Minerals, ores and non-precious metals",84.55,,,32.0475,,,3.4884,,
2005M03,"Mar. 2005",IN0001.09,"Precious metals",40.05,,,5.1457,,,2.4297,,
2005M03,"Mar. 2005",IN0001.10,"Fuels",106.97,,,44.9458,,,12.1632,,
2005M03,"Mar. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M03,"Mar. 2005",IN0001.05,"Tropical beverages and food",68.73,,,15.8827,,,2.6587,,
2005M03,"Mar. 2005",IN0001.22,"All groups excl. fuels",65.61,,,8.806,,,3.4695,,
2005M03,"Mar. 2005",IN0001.23,"All groups excl. precious metals",98.06,,,34.7904,,,10.0561,,
2005M03,"Mar. 2005",IN0001.24,"All groups excl. precious metals and fuels",77.11,,,9.6871,,,3.6982,,
2005M04,"Apr. 2005",IN0001.20,"All groups",91.77,,,32.2334,,,0.636,,
2005M04,"Apr. 2005",IN0001.01,"All food",68.55,,,-0.3779,,,-2.0154,,
2005M04,"Apr. 2005",IN0001.02,"Food",66.57,,,4.0156,,,-1.4654,,
2005M04,"Apr. 2005",IN0001.03,"Tropical beverages",69.42,,,45.1087,,,-4.01,,
2005M04,"Apr. 2005",IN0001.04,"Vegetable oilseeds and oils",71.5,,,-19.7621,,,-1.7722,,
2005M04,"Apr. 2005",IN0001.06,"Agricultural raw materials",83.02,,,0.181,,,-1.1078,,
2005M04,"Apr. 2005",IN0001.07,"Minerals, ores and metals",59.08,,,20.179,,,-1.0219,,
2005M04,"Apr. 2005",IN0001.08,"Minerals, ores and non-precious metals",83.74,,,31.4187,,,-0.958,,
2005M04,"Apr. 2005",IN0001.09,"Precious metals",39.59,,,5.1527,,,-1.1486,,
2005M04,"Apr. 2005",IN0001.10,"Fuels",108.48,,,43.3593,,,1.4116,,
2005M04,"Apr. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M04,"Apr. 2005",IN0001.05,"Tropical beverages and food",67.27,,,12.0793,,,-2.1243,,
2005M04,"Apr. 2005",IN0001.22,"All groups excl. fuels",64.69,,,9.1814,,,-1.4022,,
2005M04,"Apr. 2005",IN0001.23,"All groups excl. precious metals",98.78,,,34.0844,,,0.7342,,
2005M04,"Apr. 2005",IN0001.24,"All groups excl. precious metals and fuels",75.98,,,10.1638,,,-1.4654,,
2005M05,"May  2005",IN0001.20,"All groups",87.73,,,19.4906,,,-4.4023,,
2005M05,"May  2005",IN0001.01,"All food",68.09,,,3.4645,,,-0.671,,
2005M05,"May  2005",IN0001.02,"Food",66.22,,,4.9778,,,-0.5258,,
2005M05,"May  2005",IN0001.03,"Tropical beverages",68.73,,,42.1216,,,-0.9939,,
2005M05,"May  2005",IN0001.04,"Vegetable oilseeds and oils",70.99,,,-11.8246,,,-0.7133,,
2005M05,"May  2005",IN0001.06,"Agricultural raw materials",83.42,,,3.0131,,,0.4818,,
2005M05,"May  2005",IN0001.07,"Minerals, ores and metals",58.2,,,24.5453,,,-1.4895,,
2005M05,"May  2005",IN0001.08,"Minerals, ores and non-precious metals",82.52,,,34.8586,,,-1.4569,,
2005M05,"May  2005",IN0001.09,"Precious metals",38.99,,,10.4533,,,-1.5155,,
2005M05,"May  2005",IN0001.10,"Fuels",102.32,,,22.1877,,,-5.6785,,
2005M05,"May  2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M05,"May  2005",IN0001.05,"Tropical beverages and food",66.84,,,12.4306,,,-0.6392,,
2005M05,"May  2005",IN0001.22,"All groups excl. fuels",64.08,,,13.0757,,,-0.943,,
2005M05,"May  2005",IN0001.23,"All groups excl. precious metals",94.28,,,20.0407,,,-4.5556,,
2005M05,"May  2005",IN0001.24,"All groups excl. precious metals and fuels",75.38,,,13.6953,,,-0.7897,,
2005M06,"June 2005",IN0001.20,"All groups",95,,,32.589,,,8.2868,,
2005M06,"June 2005",IN0001.01,"All food",69.53,,,7.9491,,,2.1148,,
2005M06,"June 2005",IN0001.02,"Food",67.16,,,5.8805,,,1.4195,,
2005M06,"June 2005",IN0001.03,"Tropical beverages",67.04,,,33.3333,,,-2.4589,,
2005M06,"June 2005",IN0001.04,"Vegetable oilseeds and oils",75.06,,,1.2136,,,5.7332,,
2005M06,"June 2005",IN0001.06,"Agricultural raw materials",84.09,,,4.8896,,,0.8032,,
2005M06,"June 2005",IN0001.07,"Minerals, ores and metals",59.34,,,24.7687,,,1.9588,,
2005M06,"June 2005",IN0001.08,"Minerals, ores and non-precious metals",83.99,,,34.8804,,,1.7814,,
2005M06,"June 2005",IN0001.09,"Precious metals",39.85,,,10.8792,,,2.2057,,
2005M06,"June 2005",IN0001.10,"Fuels",113.33,,,40,,,10.7604,,
2005M06,"June 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M06,"June 2005",IN0001.05,"Tropical beverages and food",67.13,,,11.5302,,,0.4339,,
2005M06,"June 2005",IN0001.22,"All groups excl. fuels",65.27,,,15.3792,,,1.8571,,
2005M06,"June 2005",IN0001.23,"All groups excl. precious metals",102.41,,,33.9568,,,8.6232,,
2005M06,"June 2005",IN0001.24,"All groups excl. precious metals and fuels",76.72,,,16.4895,,,1.7777,,
2005M07,"Jul. 2005",IN0001.20,"All groups",98.69,,,34.6936,,,3.8842,,
2005M07,"Jul. 2005",IN0001.01,"All food",69.27,,,8.9322,,,-0.3739,,
2005M07,"Jul. 2005",IN0001.02,"Food",68.84,,,7.2775,,,2.5015,,
2005M07,"Jul. 2005",IN0001.03,"Tropical beverages",62.81,,,31.2369,,,-6.3097,,
2005M07,"Jul. 2005",IN0001.04,"Vegetable oilseeds and oils",73.71,,,3.0477,,,-1.7986,,
2005M07,"Jul. 2005",IN0001.06,"Agricultural raw materials",86.27,,,10.0944,,,2.5925,,
2005M07,"Jul. 2005",IN0001.07,"Minerals, ores and metals",59.06,,,21.5727,,,-0.4719,,
2005M07,"Jul. 2005",IN0001.08,"Minerals, ores and non-precious metals",84.17,,,31.7627,,,0.2143,,
2005M07,"Jul. 2005",IN0001.09,"Precious metals",39.21,,,7.4836,,,-1.606,,
2005M07,"Jul. 2005",IN0001.10,"Fuels",119.33,,,42.8931,,,5.2943,,
2005M07,"Jul. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M07,"Jul. 2005",IN0001.05,"Tropical beverages and food",67.35,,,11.9701,,,0.3277,,
2005M07,"Jul. 2005",IN0001.22,"All groups excl. fuels",65.24,,,15.1226,,,-0.046,,
2005M07,"Jul. 2005",IN0001.23,"All groups excl. precious metals",106.69,,,36.3973,,,4.1793,,
2005M07,"Jul. 2005",IN0001.24,"All groups excl. precious metals and fuels",76.96,,,17.0138,,,0.3128,,
2005M08,"Aug. 2005",IN0001.20,"All groups",107.72,,,41.8302,,,9.1499,,
2005M08,"Aug. 2005",IN0001.01,"All food",67.73,,,8.0051,,,-2.2232,,
2005M08,"Aug. 2005",IN0001.02,"Food",68.63,,,8.2663,,,-0.3051,,
2005M08,"Aug. 2005",IN0001.03,"Tropical beverages",62.4,,,27.0358,,,-0.6528,,
2005M08,"Aug. 2005",IN0001.04,"Vegetable oilseeds and oils",69.18,,,-0.1155,,,-6.1457,,
2005M08,"Aug. 2005",IN0001.06,"Agricultural raw materials",86.78,,,11.2992,,,0.5912,,
2005M08,"Aug. 2005",IN0001.07,"Minerals, ores and metals",60.44,,,24.0558,,,2.3366,,
2005M08,"Aug. 2005",IN0001.08,"Minerals, ores and non-precious metals",85.9,,,35.489,,,2.0554,,
2005M08,"Aug. 2005",IN0001.09,"Precious metals",40.33,,,8.6184,,,2.8564,,
2005M08,"Aug. 2005",IN0001.10,"Fuels",133.74,,,51.9773,,,12.0758,,
2005M08,"Aug. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M08,"Aug. 2005",IN0001.05,"Tropical beverages and food",67.1,,,12.0762,,,-0.3712,,
2005M08,"Aug. 2005",IN0001.22,"All groups excl. fuels",65.52,,,16.1496,,,0.4292,,
2005M08,"Aug. 2005",IN0001.23,"All groups excl. precious metals",116.77,,,43.8763,,,9.4479,,
2005M08,"Aug. 2005",IN0001.24,"All groups excl. precious metals and fuels",76.86,,,18.0645,,,-0.1299,,
2005M09,"Sep. 2005",IN0001.20,"All groups",113.86,,,53.223,,,5.7,,
2005M09,"Sep. 2005",IN0001.01,"All food",67.01,,,7.3534,,,-1.063,,
2005M09,"Sep. 2005",IN0001.02,"Food",69.48,,,11.364,,,1.2385,,
2005M09,"Sep. 2005",IN0001.03,"Tropical beverages",58.53,,,14.2495,,,-6.2019,,
2005M09,"Sep. 2005",IN0001.04,"Vegetable oilseeds and oils",67.53,,,-1.903,,,-2.3851,,
2005M09,"Sep. 2005",IN0001.06,"Agricultural raw materials",89.89,,,14.7581,,,3.5838,,
2005M09,"Sep. 2005",IN0001.07,"Minerals, ores and metals",61.15,,,24.5164,,,1.1747,,
2005M09,"Sep. 2005",IN0001.08,"Minerals, ores and non-precious metals",85.58,,,33.7396,,,-0.3725,,
2005M09,"Sep. 2005",IN0001.09,"Precious metals",41.85,,,12.0482,,,3.7689,,
2005M09,"Sep. 2005",IN0001.10,"Fuels",143.4,,,68.1914,,,7.223,,
2005M09,"Sep. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M09,"Sep. 2005",IN0001.05,"Tropical beverages and food",66.78,,,11.9718,,,-0.4769,,
2005M09,"Sep. 2005",IN0001.22,"All groups excl. fuels",65.97,,,16.6372,,,0.6868,,
2005M09,"Sep. 2005",IN0001.23,"All groups excl. precious metals",123.54,,,55.8274,,,5.7977,,
2005M09,"Sep. 2005",IN0001.24,"All groups excl. precious metals and fuels",76.82,,,17.804,,,-0.052,,
2005M10,"Oct. 2005",IN0001.20,"All groups",112.87,,,38.5588,,,-0.8695,,
2005M10,"Oct. 2005",IN0001.01,"All food",68.4,,,10.7154,,,2.0743,,
2005M10,"Oct. 2005",IN0001.02,"Food",71.22,,,12.672,,,2.5043,,
2005M10,"Oct. 2005",IN0001.03,"Tropical beverages",61.13,,,23.5698,,,4.4422,,
2005M10,"Oct. 2005",IN0001.04,"Vegetable oilseeds and oils",67.62,,,1.9756,,,0.1333,,
2005M10,"Oct. 2005",IN0001.06,"Agricultural raw materials",90.59,,,13.9784,,,0.7787,,
2005M10,"Oct. 2005",IN0001.07,"Minerals, ores and metals",62.62,,,23.1465,,,2.4039,,
2005M10,"Oct. 2005",IN0001.08,"Minerals, ores and non-precious metals",87.19,,,31.9661,,,1.8813,,
2005M10,"Oct. 2005",IN0001.09,"Precious metals",43.21,,,11.2799,,,3.2497,,
2005M10,"Oct. 2005",IN0001.10,"Fuels",140.95,,,46.3807,,,-1.7085,,
2005M10,"Oct. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M10,"Oct. 2005",IN0001.05,"Tropical beverages and food",68.74,,,14.9114,,,2.935,,
2005M10,"Oct. 2005",IN0001.22,"All groups excl. fuels",67.34,,,17.2762,,,2.0767,,
2005M10,"Oct. 2005",IN0001.23,"All groups excl. precious metals",122.22,,,40.1766,,,-1.0685,,
2005M10,"Oct. 2005",IN0001.24,"All groups excl. precious metals and fuels",78.2,,,18.863,,,1.7964,,
2005M11,"Nov. 2005",IN0001.20,"All groups",104.37,,,35.757,,,-7.5308,,
2005M11,"Nov. 2005",IN0001.01,"All food",68,,,7.425,,,-0.5848,,
2005M11,"Nov. 2005",IN0001.02,"Food",70.39,,,10.8504,,,-1.1654,,
2005M11,"Nov. 2005",IN0001.03,"Tropical beverages",62.49,,,14.4925,,,2.2248,,
2005M11,"Nov. 2005",IN0001.04,"Vegetable oilseeds and oils",66.97,,,-1.3697,,,-0.9613,,
2005M11,"Nov. 2005",IN0001.06,"Agricultural raw materials",89.82,,,11.8555,,,-0.85,,
2005M11,"Nov. 2005",IN0001.07,"Minerals, ores and metals",64.27,,,24.0255,,,2.6349,,
2005M11,"Nov. 2005",IN0001.08,"Minerals, ores and non-precious metals",89.99,,,36.0393,,,3.2114,,
2005M11,"Nov. 2005",IN0001.09,"Precious metals",43.94,,,8.5206,,,1.6894,,
2005M11,"Nov. 2005",IN0001.10,"Fuels",126.78,,,43.7741,,,-10.0532,,
2005M11,"Nov. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M11,"Nov. 2005",IN0001.05,"Tropical beverages and food",68.44,,,11.6476,,,-0.4364,,
2005M11,"Nov. 2005",IN0001.22,"All groups excl. fuels",68.03,,,16.1714,,,1.0247,,
2005M11,"Nov. 2005",IN0001.23,"All groups excl. precious metals",112.49,,,37.5688,,,-7.9611,,
2005M11,"Nov. 2005",IN0001.24,"All groups excl. precious metals and fuels",78.88,,,18.2609,,,0.8696,,
2005M12,"Dec. 2005",IN0001.20,"All groups",111.73,,,46.4351,,,7.0518,,
2005M12,"Dec. 2005",IN0001.01,"All food",70.25,,,8.2435,,,3.3088,,
2005M12,"Dec. 2005",IN0001.02,"Food",74.46,,,14.9251,,,5.7821,,
2005M12,"Dec. 2005",IN0001.03,"Tropical beverages",62.16,,,4.9291,,,-0.5281,,
2005M12,"Dec. 2005",IN0001.04,"Vegetable oilseeds and oils",67.54,,,-1.1127,,,0.8511,,
2005M12,"Dec. 2005",IN0001.06,"Agricultural raw materials",91.67,,,12.6167,,,2.0597,,
2005M12,"Dec. 2005",IN0001.07,"Minerals, ores and metals",68.07,,,31.6634,,,5.9126,,
2005M12,"Dec. 2005",IN0001.08,"Minerals, ores and non-precious metals",94.8,,,43.8543,,,5.345,,
2005M12,"Dec. 2005",IN0001.09,"Precious metals",46.95,,,15.9832,,,6.8503,,
2005M12,"Dec. 2005",IN0001.10,"Fuels",136.78,,,57.4355,,,7.8877,,
2005M12,"Dec. 2005",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2005M12,"Dec. 2005",IN0001.05,"Tropical beverages and food",71.43,,,12.6301,,,4.3688,,
2005M12,"Dec. 2005",IN0001.22,"All groups excl. fuels",71.11,,,20.1995,,,4.5274,,
2005M12,"Dec. 2005",IN0001.23,"All groups excl. precious metals",120.43,,,48.4591,,,7.0584,,
2005M12,"Dec. 2005",IN0001.24,"All groups excl. precious metals and fuels",81.99,,,21.3408,,,3.9427,,
2006M01,"Jan. 2006",IN0001.20,"All groups",111.06,,,37.4675,,,-0.5997,,
2006M01,"Jan. 2006",IN0001.01,"All food",74.1,,,13.6852,,,5.4804,,
2006M01,"Jan. 2006",IN0001.02,"Food",79.12,,,19.7337,,,6.2584,,
2006M01,"Jan. 2006",IN0001.03,"Tropical beverages",72.07,,,19.4993,,,15.9427,,
2006M01,"Jan. 2006",IN0001.04,"Vegetable oilseeds and oils",66.51,,,0.1958,,,-1.525,,
2006M01,"Jan. 2006",IN0001.06,"Agricultural raw materials",95.08,,,15.5426,,,3.7199,,
2006M01,"Jan. 2006",IN0001.07,"Minerals, ores and metals",74.07,,,29.7652,,,8.8145,,
2006M01,"Jan. 2006",IN0001.08,"Minerals, ores and non-precious metals",104.02,,,29.96,,,9.7257,,
2006M01,"Jan. 2006",IN0001.09,"Precious metals",50.41,,,29.4888,,,7.3695,,
2006M01,"Jan. 2006",IN0001.10,"Fuels",132.62,,,43.8863,,,-3.0414,,
2006M01,"Jan. 2006",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2006M01,"Jan. 2006",IN0001.05,"Tropical beverages and food",77.39,,,19.6876,,,8.3438,,
2006M01,"Jan. 2006",IN0001.22,"All groups excl. fuels",76.11,,,22.1081,,,7.0314,,
2006M01,"Jan. 2006",IN0001.23,"All groups excl. precious metals",119.21,,,37.9586,,,-1.013,,
2006M01,"Jan. 2006",IN0001.24,"All groups excl. precious metals and fuels",87.69,,,20.3541,,,6.9521,,
2006M02,"Feb. 2006",IN0001.20,"All groups",107.78,,,29.5744,,,-2.9534,,
2006M02,"Feb. 2006",IN0001.01,"All food",77.13,,,15.6892,,,4.0891,,
2006M02,"Feb. 2006",IN0001.02,"Food",84.37,,,25.8502,,,6.6355,,
2006M02,"Feb. 2006",IN0001.03,"Tropical beverages",72.88,,,9.3145,,,1.1239,,
2006M02,"Feb. 2006",IN0001.04,"Vegetable oilseeds and oils",66.95,,,1.4087,,,0.6616,,
2006M02,"Feb. 2006",IN0001.06,"Agricultural raw materials",99.08,,,18.8437,,,4.207,,
2006M02,"Feb. 2006",IN0001.07,"Minerals, ores and metals",75.81,,,30.91,,,2.3491,,
2006M02,"Feb. 2006",IN0001.08,"Minerals, ores and non-precious metals",107.19,,,31.1995,,,3.0475,,
2006M02,"Feb. 2006",IN0001.09,"Precious metals",51.01,,,30.4604,,,1.1902,,
2006M02,"Feb. 2006",IN0001.10,"Fuels",125.83,,,31.9388,,,-5.1199,,
2006M02,"Feb. 2006",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",IN0001.05,"Tropical beverages and food",81.54,,,21.7924,,,5.3624,,
2006M02,"Feb. 2006",IN0001.22,"All groups excl. fuels",78.52,,,23.829,,,3.1665,,
2006M02,"Feb. 2006",IN0001.23,"All groups excl. precious metals",115.41,,,29.5286,,,-3.1877,,
2006M02,"Feb. 2006",IN0001.24,"All groups excl. precious metals and fuels",90.9,,,22.2431,,,3.6606,,
2006M03,"Mar. 2006",IN0001.20,"All groups",107.8,,,18.2147,,,0.0186,,
2006M03,"Mar. 2006",IN0001.01,"All food",75.82,,,8.3762,,,-1.6984,,
2006M03,"Mar. 2006",IN0001.02,"Food",83.39,,,23.431,,,-1.1616,,
2006M03,"Mar. 2006",IN0001.03,"Tropical beverages",68.33,,,-5.5171,,,-6.2431,,
2006M03,"Mar. 2006",IN0001.04,"Vegetable oilseeds and oils",66.92,,,-8.0643,,,-0.0448,,
2006M03,"Mar. 2006",IN0001.06,"Agricultural raw materials",98.54,,,17.3794,,,-0.545,,
2006M03,"Mar. 2006",IN0001.07,"Minerals, ores and metals",76.56,,,28.2627,,,0.9893,,
2006M03,"Mar. 2006",IN0001.08,"Minerals, ores and non-precious metals",108.16,,,27.9243,,,0.9049,,
2006M03,"Mar. 2006",IN0001.09,"Precious metals",51.59,,,28.814,,,1.137,,
2006M03,"Mar. 2006",IN0001.10,"Fuels",125.92,,,17.7152,,,0.0715,,
2006M03,"Mar. 2006",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2006M03,"Mar. 2006",IN0001.05,"Tropical beverages and food",79.67,,,15.9174,,,-2.2934,,
2006M03,"Mar. 2006",IN0001.22,"All groups excl. fuels",78.43,,,19.5397,,,-0.1146,,
2006M03,"Mar. 2006",IN0001.23,"All groups excl. precious metals",115.36,,,17.6423,,,-0.0433,,
2006M03,"Mar. 2006",IN0001.24,"All groups excl. precious metals and fuels",90.51,,,17.3778,,,-0.429,,
2006M04,"Apr. 2006",IN0001.20,"All groups",117.13,,,27.6343,,,8.6549,,
2006M04,"Apr. 2006",IN0001.01,"All food",76.72,,,11.9183,,,1.187,,
2006M04,"Apr. 2006",IN0001.02,"Food",84.55,,,27.0092,,,1.3911,,
2006M04,"Apr. 2006",IN0001.03,"Tropical beverages",69.51,,,0.1296,,,1.7269,,
2006M04,"Apr. 2006",IN0001.04,"Vegetable oilseeds and oils",67.2,,,-6.014,,,0.4184,,
2006M04,"Apr. 2006",IN0001.06,"Agricultural raw materials",99.4,,,19.7302,,,0.8727,,
2006M04,"Apr. 2006",IN0001.07,"Minerals, ores and metals",85.02,,,43.9066,,,11.0502,,
2006M04,"Apr. 2006",IN0001.08,"Minerals, ores and non-precious metals",120.47,,,43.862,,,11.3813,,
2006M04,"Apr. 2006",IN0001.09,"Precious metals",57,,,43.9758,,,10.4865,,
2006M04,"Apr. 2006",IN0001.10,"Fuels",137.86,,,27.0833,,,9.4822,,
2006M04,"Apr. 2006",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2006M04,"Apr. 2006",IN0001.05,"Tropical beverages and food",80.84,,,20.1724,,,1.4686,,
2006M04,"Apr. 2006",IN0001.22,"All groups excl. fuels",83.52,,,29.1081,,,6.4899,,
2006M04,"Apr. 2006",IN0001.23,"All groups excl. precious metals",125.21,,,26.7564,,,8.5385,,
2006M04,"Apr. 2006",IN0001.24,"All groups excl. precious metals and fuels",95.47,,,25.6515,,,5.4801,,
2006M05,"May  2006",IN0001.20,"All groups",117.82,,,34.2984,,,0.5891,,
2006M05,"May  2006",IN0001.01,"All food",77.44,,,13.7318,,,0.9385,,
2006M05,"May  2006",IN0001.02,"Food",85.12,,,28.5412,,,0.6742,,
2006M05,"May  2006",IN0001.03,"Tropical beverages",67.95,,,-1.1349,,,-2.2443,,
2006M05,"May  2006",IN0001.04,"Vegetable oilseeds and oils",69.49,,,-2.113,,,3.4077,,
2006M05,"May  2006",IN0001.06,"Agricultural raw materials",105.05,,,25.929,,,5.6841,,
2006M05,"May  2006",IN0001.07,"Minerals, ores and metals",93.68,,,60.9622,,,10.1858,,
2006M05,"May  2006",IN0001.08,"Minerals, ores and non-precious metals",132.57,,,60.652,,,10.044,,
